CIF,Place,Room,Date,Duration
HLLFNC58D29C638T,3174706,D.3.1,2021-07-21,02:47:00
BLLCSY80S66C813E,3178947,T.9.8,2020-11-29,17:14:00
MCKMND72M66B266M,10627265,,2021-06-12,23:14:00
JNSLNE85A43D861P,3217778,Z.9.5,2020-09-04,21:23:00
FLGFNC93T69F680E,8967523,J.2.5,2021-09-24,06:28:00
SNDFNC55A01C569Q,8959183,W.7.7,2020-09-01,17:24:00
GRNWLM01E04C322W,2524528,,2020-01-07,19:26:00
BLSJMA76T63E229C,9612931,P.4.1,2020-01-04,14:37:00
MROJMS77P16A027Y,6540854,,2020-05-21,18:22:00
BNVJCK77R13I365R,10234509,U.8.3,2020-08-06,11:55:00
JDNHHR00A45F415C,3183224,D.3.3,2021-08-31,04:22:00
BCKMGN71S66C251D,6542214,,2020-02-03,16:56:00
HRRJTH96S66F550A,3178947,X.9.0,2021-07-03,17:15:00
SBRWTR66H10A647U,7289460,,2021-04-03,00:26:00
NWTBND87E71F587J,3178423,,2021-03-16,05:38:00
SLMJMS69H11H391V,3169202,G.2.3,2021-03-31,17:50:00
DWRDIA50P44E245K,6542295,,2020-04-28,12:38:00
SMTJTH64B65E373B,11128077,,2020-03-24,12:20:00
CNTTMS91R03H985R,10376048,,2020-01-10,02:05:00
MRKJTH56R43G568T,8967523,N.6.7,2020-05-18,06:51:00
LWOMRY83C66B613X,8982854,,2020-08-15,07:59:00
GRCNRM93M53L215Y,11127622,,2021-03-29,16:56:00
DWRSNT90B52C580T,8956432,I.8.8,2020-03-25,18:04:00
LYTRRT51S28E021K,3177891,,2020-08-01,21:20:00
LWSRHR01L06B828V,7289460,,2020-06-12,09:13:00
WRNGNE81T16B835T,8952732,O.6.8,2020-10-13,20:57:00
PRTTRY64C04I172I,8956432,I.8.8,2021-07-19,19:54:00
DWKDLD69M07F917O,8961730,H.4.6,2021-04-21,11:15:00
PTNDMA56M21F597Q,8030019,,2021-08-02,06:14:00
CNLLLO77E71F935D,8953415,V.5.8,2020-06-15,06:13:00
LLNBRN75R25C251K,2522948,,2021-05-08,18:35:00
JHNDLN78S61B667U,11126481,,2020-05-22,13:44:00
BLLCRS78M09A245Z,3174706,D.3.1,2020-07-08,15:56:00
DRVGLD59E16M080M,8959183,W.7.7,2020-08-05,17:18:00
MYIBRC89M10D096S,8199505,,2021-04-25,15:37:00
MLLSSN00L52L165R,8956432,I.8.8,2020-05-17,11:25:00
MYIBRC89M10D096S,8961730,M.1.9,2021-01-04,21:45:00
PGARCH72H27I520O,6541078,,2021-06-16,20:50:00
MCCMSS50R43F852D,3217778,Q.3.6,2020-02-17,07:41:00
WNGDNL75H13L357P,3178423,,2021-08-31,16:03:00
RSAJHN90C15I425I,2524528,,2020-03-22,05:37:00
SPRPLP96P05G044C,3169202,G.2.3,2020-01-11,01:50:00
DRDCRS75T45H102U,8260210,,2020-02-24,08:23:00
MLMCRL83M22C698E,11128077,,2021-09-01,09:16:00
HGHJNN88A65F496L,8967523,J.2.5,2021-01-14,05:42:00
WBBNCY71E42L247I,6538502,,2020-09-23,03:54:00
WRTJHN82R18H511G,3165736,,2020-04-12,07:11:00
WSTTFN95M63I482E,3170817,,2020-08-17,06:53:00
VRTJMS65D25I512Z,8953518,K.5.0,2021-07-03,23:42:00
RCKJNT71P47E589S,8961730,M.1.9,2020-11-22,22:35:00
PPSLBT87C51D756G,3178947,T.9.8,2021-05-13,20:24:00
WHLLVE00B11G660K,8952193,G.6.9,2021-03-12,21:28:00
HRNJNN74S67L145Y,6299593,,2021-11-03,08:16:00
MCGHLD79D28G482B,8504596,,2021-02-24,15:22:00
NWTJNU90M65C388R,8978564,T.4.9,2020-07-29,16:49:00
MRRPRC80L51E326U,6542295,,2021-06-11,14:19:00
MRTGRY65M30D802A,10401364,,2021-04-05,04:24:00
MCMLLN70H58L315A,7303538,,2021-07-17,17:49:00
MCKMHL70S23I139C,8967523,N.6.7,2021-01-26,12:31:00
BNTRTH94A61C024H,6540033,,2021-10-18,05:21:00
TLRFBN56E15I805D,8354453,,2021-10-04,12:51:00
BLLCST65E24G402E,11153961,U.0.0,2021-02-27,12:43:00
MDRDSR84E43A555F,9612605,Z.9.4,2020-03-27,23:53:00
DRVGLD59E16M080M,7303538,,2021-08-22,08:51:00
LMBSSN58L45A769P,11127383,,2021-03-14,02:35:00
SPGJTH83D20E558P,3165293,,2020-08-06,04:44:00
RGHBLY89S30B697Q,8967523,N.6.7,2020-04-20,07:35:00
MCNRFL69D21B898G,9612285,U.9.9,2021-10-05,07:34:00
SPLJSH50H02D518A,10234509,U.8.3,2021-07-20,23:24:00
DWNRRT56B07M082Z,3175603,T.9.8,2021-04-22,00:12:00
SDACLS64B19G769B,6541464,,2021-03-14,05:01:00
YNGWLM51T14A976P,3169263,K.5.0,2020-04-13,01:01:00
RVRMLN68B59D853T,3175603,T.9.8,2021-05-19,18:50:00
CRSLSN85M48B822G,10114711,A.8.6,2021-08-04,16:41:00
BLYNNA59M49B933J,3172542,,2020-08-24,10:52:00
YRSSRT99L06L644E,9613262,J.8.7,2020-01-06,18:33:00
WLLTRC01A53E209H,10627265,,2020-03-22,15:29:00
YCMRHR65L14C769T,8199505,,2021-08-11,04:58:00
BLLCST84C50D050O,11127880,,2021-10-23,13:30:00
CTSJNN88H22M190V,3178947,X.9.0,2021-10-03,22:33:00
BSLFNK61H12F511L,8982241,P.0.5,2021-06-24,08:31:00
TYRJNC88H50I996Y,8969613,H.3.9,2021-08-11,07:58:00
BRGTNY88T45B482U,3170817,,2020-06-18,22:20:00
MCKMGR94R63E098P,8969613,A.6.0,2020-04-03,04:57:00
FRNMLA70R62G009A,10114711,I.8.7,2020-07-08,07:31:00
PSQRBC51B58I333F,2523131,,2020-06-23,12:11:00
RNGFNC52B43I314K,11127622,,2020-12-19,04:08:00
WLLDNN85P42M270E,8956432,I.8.8,2020-04-01,16:37:00
SPGCST92D14C418Q,6540854,,2020-01-23,23:56:00
KRZCRS50A29E743J,9612931,P.4.1,2021-10-26,16:07:00
WRGMSS60P52B693A,8953518,K.5.0,2021-04-16,20:20:00
MCKMGR94R63E098P,9032354,M.2.3,2020-10-30,22:22:00
MLFKNT56T13E465I,3174706,D.3.1,2020-10-22,06:41:00
BLSJMA76T63E229C,8961730,H.4.6,2021-07-17,12:41:00
PRMCLY82D54L484R,3217778,Q.3.6,2020-07-04,17:44:00
WLLTRC01A53E209H,8982241,D.7.4,2021-10-31,17:08:00
JCKRCH60S27F355A,3177891,,2021-09-21,12:39:00
GNGCRL59L05F348I,8984890,,2020-08-27,20:11:00
HNNRSL00P42F216Z,3178947,X.9.0,2020-03-11,06:26:00
CRMJFF77C10E531O,11126481,,2021-06-13,13:28:00
FTADNE75R01A120P,3169263,K.5.0,2021-09-15,01:03:00
DWRSNT90B52C580T,11857076,,2020-04-18,13:51:00
MCKLSE60S68G394C,10376048,,2020-12-12,13:08:00
JNSRHR61E19G286W,3165293,,2020-01-13,04:06:00
MCLJHN59H29C381M,8961730,H.4.6,2020-10-19,02:38:00
BLDVGN65H58L386N,3169202,G.2.3,2021-05-23,11:35:00
KTCRLE50C18H375T,6541078,,2021-10-27,23:48:00
HMMCRL72D18C404E,6933445,,2020-09-15,14:04:00
KNGNNA50B66E974I,3169263,K.5.0,2021-10-21,03:01:00
BTWWLM84H09G446S,8963948,L.5.4,2021-05-07,14:53:00
LLNLNE84T60F572O,8030019,,2020-09-05,20:36:00
GBRCVN74S28I701Y,6541464,,2021-08-24,10:45:00
QSNRYO70M18H026X,9613262,J.8.7,2020-10-29,00:29:00
NNERYA89M12G622H,9612931,P.4.1,2021-09-19,09:47:00
WLBDNN75D69I861C,10234509,U.8.3,2021-03-22,13:54:00
SHRKSY82C59E747L,11128077,,2021-07-01,01:50:00
DHLTMI68L23I023N,3169202,G.2.3,2021-04-16,15:17:00
BRGJDN95A25B906K,3165293,,2020-08-24,10:42:00
HRDDRY77E65L582J,9612285,U.9.9,2021-06-14,18:28:00
DRVGLD59E16M080M,6541464,,2020-11-05,07:12:00
HNDJSN78C02F045Z,10292350,Q.6.2,2020-11-10,14:18:00
CMPLRY76L01H269Z,8952193,G.6.9,2020-06-12,07:23:00
GLLCRS56C26F118U,8966253,C.4.7,2021-11-07,11:24:00
GLLCRS56C26F118U,9612931,P.4.1,2021-07-14,17:00:00
RCHDNL99S18H378H,11127383,,2021-01-15,20:57:00
HLTNRS97T12G196D,9613262,J.8.7,2021-02-05,05:33:00
LFLRRT59E14H327B,11857076,,2020-06-08,15:01:00
NDRVVN53R50C820Z,6542295,,2021-04-11,14:02:00
PTKJSC57T62G372N,6537720,,2020-03-28,13:14:00
PRMCLY82D54L484R,6538502,,2020-09-14,01:31:00
RVRMLN68B59D853T,9412867,F.7.1,2020-03-04,15:25:00
CRPNMN90M15D468D,8199505,,2021-04-28,15:52:00
WSTRCE94T26G210T,6542295,,2020-11-09,16:01:00
JHNMND92B49D050L,8984890,,2021-01-15,23:32:00
VGSWLM51D09L411Z,3164450,,2021-10-09,02:52:00
RCKJPH73P05D848I,3169202,G.2.3,2020-12-23,08:41:00
WNDJHN79B02C977D,10292350,Q.6.2,2021-06-10,09:56:00
TMBBRL00A66G888R,10376048,,2021-06-30,06:24:00
ZFFSCR81T21A432E,10292350,Q.6.2,2021-05-21,00:31:00
MSSLLS88E05B214Q,11127622,,2021-08-18,03:39:00
STPJMS86C28A372T,8952193,H.8.2,2020-11-03,04:20:00
RDRSPH92R26E933A,8953518,K.5.0,2021-07-14,02:48:00
HYPJNY70A45E999F,8952193,G.6.9,2021-10-23,20:28:00
WCKSRL55L04C204G,6541078,,2020-08-27,09:48:00
MROBRN94B20A932V,7303538,,2021-07-19,09:54:00
SHWSRA96S61D802J,8953415,V.5.8,2021-09-01,17:46:00
HLTNRS97T12G196D,10626188,,2021-04-02,19:04:00
HLEMMA50S69L018V,3178423,,2021-03-05,03:42:00
GRCHRD95P10I817B,8963948,L.5.4,2020-09-26,11:26:00
QNCDLL88E60G371B,3170817,,2020-02-26,18:21:00
BCKKST53T52F187L,6541078,,2020-02-16,15:02:00
MTCDRH94C69G078U,8959183,W.7.7,2020-04-03,12:20:00
DKNTNY67B19D865D,11857076,,2021-02-02,10:09:00
MTCDRH94C69G078U,10627265,,2020-01-14,16:00:00
MKRCNN84A43F354C,6542214,,2020-02-13,09:45:00
CRTMCS76T07F987U,8967778,N.7.4,2020-10-27,19:59:00
CRNDRD69C26B637I,2525364,,2021-01-28,12:21:00
SMTJFR71A03I875U,9612931,P.4.1,2021-09-14,02:23:00
MROJMS77P16A027Y,6933445,,2020-03-25,19:03:00
PRKDLD03P15M333E,8952193,H.8.2,2021-07-18,04:06:00
LLNLNE84T60F572O,3169263,K.5.0,2020-09-07,13:03:00
FNTMGN72D46F351M,3183224,D.3.3,2021-09-30,02:14:00
LNDNTL61R55F828T,8952193,H.8.2,2021-05-17,09:28:00
LMBJDU60L67E180D,8961730,H.4.6,2020-08-21,15:23:00
LYDJHN75D02D166C,3175603,N.8.6,2021-11-10,16:23:00
WRLJNN60A67F316W,8959183,W.7.7,2021-07-09,20:39:00
VRSBSY86L52E719C,3174706,D.3.1,2021-07-20,08:03:00
GRDSRH93M48L931Q,8952193,H.8.2,2020-02-22,14:26:00
QRLMVN65H05G311W,8953518,K.5.0,2021-01-03,15:21:00
BRKLRY54H23A535E,11127383,,2021-08-02,21:22:00
SEASRL79E49H518Y,6540033,,2021-05-02,19:55:00
GRJJPH95S15C173K,8953518,K.5.0,2021-01-13,19:52:00
GLLCSN68C48I115A,3169263,K.5.0,2020-07-11,22:47:00
CRWCCK86S17D304F,9612285,R.6.5,2021-08-24,04:09:00
CLYDDE86L10D360Y,3175603,T.9.8,2020-03-20,23:29:00
SCHSPH51M24L669Z,8504596,,2020-04-17,09:30:00
BYLJPH74M19I895B,10114711,I.8.7,2020-01-06,10:01:00
ZVLWLY96P27L058B,8953415,V.5.8,2021-10-11,09:13:00
MHRDNI55E45G522E,10234509,U.8.3,2021-10-04,10:42:00
LWSCNT61B42C319F,10401364,,2021-09-28,19:06:00
MRRRDE74E24B239M,3170817,,2021-05-26,19:39:00
MLDMKI86R09E983W,6540033,,2021-07-31,08:14:00
MRRPRC80L51E326U,2523131,,2020-02-09,04:19:00
RYNRNN88B55M314U,8952193,H.8.2,2020-01-13,01:38:00
MGNWLM94M31D592C,6542295,,2020-07-10,21:12:00
TFFRYN95L05M375M,10234509,U.8.3,2021-03-25,06:43:00
MDRDSR84E43A555F,3207311,,2021-05-15,23:08:00
BLLMLI50P06L802B,8967778,E.7.6,2021-04-23,23:14:00
YNOLRO57C58M163Z,6542079,,2021-07-04,03:48:00
GLSJYO84T41G346C,8982241,P.0.5,2021-02-27,09:49:00
WHTNNA69C62A268Q,3169202,G.2.3,2020-07-12,14:07:00
HYMJHN68M17G838W,2522948,,2021-10-03,14:23:00
KLLLCA97C53B149A,3169263,K.5.0,2021-05-02,08:36:00
SVGWTR95M25C743I,3170817,,2020-06-25,09:35:00
GYACRS82S04B540Z,2525364,,2021-04-03,22:26:00
WHLJNN96B49C713Y,6541464,,2020-03-25,21:23:00
WCKJSO74T23G324Z,6541464,,2021-08-04,12:57:00
MHNMRY52T49I273O,6541078,,2020-06-01,21:16:00
CRTRCE93B24C006L,8260210,,2020-04-23,04:26:00
TRNMJR78D69D419M,11126481,,2020-07-22,01:34:00
STVMYN88M60E149P,2523131,,2021-09-23,18:50:00
CLTCRS74T15G034W,11128077,,2020-02-28,16:44:00
KMPLLN57T47I876T,3175603,N.8.6,2021-09-13,12:45:00
KNDCRS56C50G039H,10401364,,2020-06-02,10:00:00
JCBLTT54R60L158E,3177891,,2021-01-30,02:35:00
RTZBTY01R70L734R,8982241,D.7.4,2021-04-09,04:05:00
PRRWLM78A11D970V,3174706,D.3.1,2021-04-23,00:29:00
FLRLNT57B02E977A,6542295,,2021-07-25,16:18:00
DNLNHN56L02G556E,3165736,,2021-03-05,13:12:00
FLKNCY87A60L154X,10114711,D.6.5,2020-07-25,18:25:00
VNCCLE59B49B403Y,3168220,D.8.2,2020-08-01,10:10:00
BCKBBR50B55B890F,11127622,,2020-05-21,14:04:00
NDRNRQ87M13I927M,11128077,,2020-12-18,04:18:00
LLZWLC91E19I704X,3169202,G.2.3,2020-12-01,13:48:00
FRRJMS81L24F372M,3168220,D.8.2,2020-09-30,01:44:00
GSSCRS58D17B481H,3183224,D.3.3,2020-09-18,04:53:00
HLLGRY62H20A820Z,3175603,N.8.6,2021-10-06,18:25:00
BLYNNA59M49B933J,8982854,,2020-06-19,04:32:00
BRDCHR61A42G635T,6542079,,2021-09-06,02:27:00
FRRDRD02H26C003V,9612605,Z.9.4,2021-05-05,23:50:00
BRGBRN99T28I412M,8952193,G.6.9,2021-10-11,19:25:00
PYELRY82P08E879R,8963948,L.5.4,2021-05-17,13:15:00
BNTRTH94A61C024H,8260210,,2021-01-30,06:35:00
BLLCST84C50D050O,8354453,,2021-08-10,01:38:00
MLDMKI86R09E983W,9613262,J.8.7,2020-05-30,23:57:00
WLLLXA74L21M350V,6540854,,2021-07-24,16:57:00
LYDPML95E61F401E,6541464,,2020-06-10,11:47:00
QSNRYO70M18H026X,6542214,,2020-10-08,01:33:00
RBRDVD69A15A784C,3178947,T.9.8,2020-08-30,11:46:00
NCHDMN86H16A448H,7289460,,2020-06-28,22:57:00
DBLCRY01P68E780C,6933445,,2021-04-24,09:19:00
MRNCRS59R46G650D,2525364,,2021-02-22,12:37:00
BRGWYN97T19D817N,3164450,,2021-02-03,22:32:00
KNSRDY54A04L933O,10376048,,2021-01-19,12:48:00
WHLTDR81R01I927W,3164450,,2020-06-07,21:37:00
DVSCRY72S63F541K,3165293,,2020-03-18,16:00:00
NDRVVN53R50C820Z,8959183,W.7.7,2020-07-07,03:11:00
RYNJFR71P15C529I,2523131,,2021-03-13,15:27:00
WRNGNE81T16B835T,3175603,N.8.6,2020-02-20,15:23:00
MRRPLA57B24M211H,2525364,,2020-04-09,01:54:00
MJRSTT75B10D931H,8967523,N.6.7,2020-04-09,09:41:00
LWSCNT61B42C319F,8956432,I.8.8,2021-08-14,04:21:00
BRGNHN50R30E994N,3165293,,2021-01-05,05:52:00
SLGJMS98L04I421O,3178947,T.9.8,2021-03-28,23:30:00
BNDSML95T08A593Z,6542295,,2020-06-16,05:23:00
GNZCRY59S56H732P,10114711,A.8.6,2021-01-01,11:35:00
DMSDTH02H67D708H,8967778,N.7.4,2021-04-18,08:39:00
WLTDRK83T02B493F,11153961,U.0.0,2021-01-20,14:24:00
YNGRRT87M21H931R,8953415,V.5.8,2021-07-10,05:02:00
RVRBNC84E67M271J,6697736,,2021-02-22,17:28:00
CRNRCC83S55D746B,10292350,Q.6.2,2020-02-12,17:08:00
BRYMHL68E67E806S,8966253,C.4.7,2020-09-18,06:13:00
THMJDY58L42E678C,3165293,,2020-04-08,03:10:00
DXNJMS68R02F829W,3169263,K.5.0,2020-09-17,14:49:00
WLSGGR51E08L078H,9412867,F.7.1,2021-11-06,06:24:00
WCKSRL55L04C204G,11127880,,2020-02-16,14:23:00
MNCDLD65M06D392T,8260210,,2020-04-05,22:04:00
MRCRSO60A56D911O,10376048,,2021-06-30,02:07:00
NLSLRO69L49G811Z,8953415,V.5.8,2021-07-01,23:43:00
KLLJFR98D09H212B,8984890,,2020-10-06,15:14:00
CRWCCK86S17D304F,6540033,,2020-11-13,20:22:00
BRYMHL68E67E806S,11128077,,2020-07-02,07:14:00
BSSPML99R48B328I,6933445,,2021-01-25,03:30:00
CMPNLN65T64A301C,8963948,J.9.2,2021-05-28,21:20:00
BCKMGN71S66C251D,3178423,,2020-04-15,16:27:00
RCKJNT71P47E589S,3175603,T.9.8,2020-06-06,07:56:00
DMNGRY69R05G446A,3174706,D.3.1,2021-06-20,20:56:00
RYNRNN88B55M314U,6540854,,2020-11-17,16:36:00
MBLDRK96P23M351D,6540854,,2020-04-23,20:36:00
GRJJPH95S15C173K,10376048,,2020-06-12,02:08:00
CHRBBR72A44I561U,3217778,Z.9.5,2020-02-15,02:20:00
BRWKRN70S41G312S,11128077,,2021-04-22,22:45:00
SKVJMI82L05B956R,6540854,,2021-08-20,08:53:00
DXNJMS68R02F829W,9034008,L.8.7,2021-04-20,18:48:00
RCHLNA82L07E078B,10292350,Q.6.2,2021-10-30,13:54:00
WBBNCY71E42L247I,3169202,G.2.3,2020-08-04,02:50:00
BRGJPH86L19A188Z,6540033,,2021-05-04,19:46:00
BMNTSH00S53D345S,3178947,T.9.8,2021-03-14,10:14:00
KNSRDY54A04L933O,9032354,M.2.3,2020-01-16,20:04:00
DWRSNT90B52C580T,6542079,,2020-03-26,23:49:00
SMTJTH64B65E373B,8504596,,2020-07-01,09:39:00
GRNKHL73L42C236S,11127383,,2021-03-02,02:08:00
HSRCRY94T13I545G,3178423,,2020-02-23,01:17:00
RSODNS00T16F497T,8354453,,2021-05-09,09:26:00
YNGWLM51T14A976P,8260210,,2021-03-31,06:29:00
TMBBRL00A66G888R,9613262,J.8.7,2020-03-22,05:37:00
NFNJNF85H59H549J,10114711,I.8.7,2021-01-03,15:19:00
MRNCRS59R46G650D,8982241,P.0.5,2020-11-24,11:39:00
CHMGGG03H11L959H,8982241,P.0.5,2021-04-16,01:58:00
LPZLNE73S28E700W,2523131,,2020-12-08,21:04:00
RYELNN63P68C280R,9412867,F.7.1,2020-12-10,13:50:00
KNDLTT54P49E317K,9612931,R.6.8,2020-09-05,00:44:00
PRKDVD83T19H477G,10627265,,2020-03-18,19:16:00
PWRJSO51T05I126E,8354453,,2021-05-20,02:53:00
HNNRSL00P42F216Z,6537720,,2021-10-09,21:08:00
GNZJHN67E23A954J,3168220,D.8.2,2021-08-16,13:23:00
RWDBBR85H61C933F,8982241,D.7.4,2021-01-15,11:26:00
RGNMHL64D07E800L,6542214,,2021-01-22,10:30:00
SCHSPH51M24L669Z,11857076,,2020-06-25,17:15:00
FVLCMN53E67L176W,8982854,,2021-03-15,04:51:00
GTTMRY62M59G747P,6542295,,2020-10-25,12:07:00
GRNDVD56B23D195R,10234509,U.8.3,2020-07-15,00:18:00
SSHNHN88L05A182R,6541464,,2020-05-27,17:42:00
SWRSRH81H58F217I,8961730,M.1.9,2020-10-14,20:06:00
BLTSSN52E68B365O,8982241,D.7.4,2021-01-13,06:36:00
MRNJQN90C29H712G,9613262,J.8.7,2020-06-13,10:49:00
JCBLTT54R60L158E,3178947,T.9.8,2020-11-15,21:47:00
WLLJNE56A01G293N,8961730,M.1.9,2020-12-21,20:44:00
SSHNHN88L05A182R,11128077,,2021-09-22,06:32:00
SHRJNN53T70C819U,8354453,,2020-10-09,01:08:00
PRZSCR73E04F951W,8978564,T.4.9,2021-06-23,08:30:00
KTCRLE50C18H375T,7303538,,2021-09-05,22:58:00
HLEMMA50S69L018V,8961730,H.4.6,2021-09-28,15:04:00
MRRJSH65H02C384J,6540033,,2021-08-06,01:00:00
SGLGNV94E70M171A,2523131,,2020-03-29,20:06:00
WHTNNA69C62A268Q,3178423,,2020-12-24,20:14:00
SEASRL79E49H518Y,3217778,Q.3.6,2021-11-07,03:36:00
NLEWLM50T17A804V,8952732,O.6.8,2020-08-09,17:23:00
SDACLS64B19G769B,6541464,,2020-08-05,22:29:00
SCHCNT94B41I543D,8967523,J.2.5,2020-01-21,09:03:00
GBRCVN74S28I701Y,10376048,,2020-02-24,10:49:00
RZAKRS82M29C458L,8967778,N.7.4,2021-02-01,10:21:00
MCKMHL70S23I139C,9034008,L.8.7,2021-07-09,03:33:00
BRGJPH86L19A188Z,6537720,,2020-10-07,23:14:00
RCKJNT71P47E589S,10114711,D.8.4,2020-10-13,01:46:00
WSTRCE94T26G210T,8504596,,2021-06-10,12:41:00
PLRTRC54B58L059A,8961730,M.1.9,2021-09-03,18:16:00
MDYJMY98L10C075Y,11127880,,2020-06-12,00:37:00
NDRNRQ87M13I927M,10401364,,2021-03-03,16:10:00
DWRLGH86E68F627M,3183224,D.3.3,2020-11-12,20:37:00
KMPLLN57T47I876T,6540854,,2021-02-21,10:54:00
MCCGGR71B06L461S,9612931,P.4.1,2021-10-28,20:18:00
BRDCHR61A42G635T,8982241,D.7.4,2020-01-25,02:18:00
PRKSNY68D03A375S,3178947,X.9.0,2021-10-30,01:23:00
DWKDLD69M07F917O,8961730,M.1.9,2021-11-07,09:29:00
MRKJTN52H09I652D,11128077,,2021-05-02,15:54:00
HLVRMN55A12H273H,3207311,,2020-12-08,00:32:00
LSNCDY03M08C076L,8952193,G.6.9,2021-03-12,15:56:00
PTRDGO98T25M139A,3164450,,2020-04-19,20:18:00
HLEMMA50S69L018V,6933445,,2020-03-10,23:27:00
WLLLRT55T09A979V,10234509,O.3.8,2021-08-14,07:54:00
SLVLNA03A20D924D,10114711,D.8.4,2021-06-12,04:56:00
CLLDLD62C21B562B,6697736,,2020-07-22,18:41:00
LBRRBN52C15G437I,9032354,M.2.3,2020-11-03,21:45:00
JYNMHL87E09F376N,3177891,,2021-04-29,22:52:00
MCGHLD79D28G482B,11127622,,2021-04-16,12:42:00
KNGJHN52C05E072P,8967778,E.7.6,2020-05-28,06:51:00
LYNRND76C10G274P,3164450,,2020-06-13,04:01:00
THMKRN55H61L140X,3165736,,2021-06-22,03:27:00
CLBSRN67A46B005I,3165736,,2021-04-06,08:22:00
FNISDY71S17G289A,8978564,T.4.9,2021-08-25,20:58:00
HRNJNN74S67L145Y,8982241,D.7.4,2020-05-30,09:24:00
NLLBRN98T02G194Z,8354453,,2020-10-08,04:32:00
PRRWLM78A11D970V,9032354,M.2.3,2021-04-10,19:12:00
DVSSNN73T52B633F,7303538,,2021-04-03,19:37:00
GRNRRT78R06A301V,3217778,Q.3.6,2021-05-19,16:47:00
MCLJHN59H29C381M,11128077,,2020-05-28,22:33:00
PHBJSO79D23C677Y,9612605,Z.9.4,2020-05-27,09:38:00
GRRJCK53P12A485P,2522948,,2020-09-23,11:06:00
HDORTH69M44L726N,7289460,,2021-10-17,13:37:00
LNGMBR78M65B646C,6540033,,2020-07-12,21:59:00
NNSDRN94E53F012X,10401364,,2021-10-15,14:20:00
WLFLSE99M50A163K,11127383,,2020-09-07,05:36:00
MDYJMY98L10C075Y,8969613,A.6.0,2020-10-12,12:13:00
MRTGRY65M30D802A,2524528,,2020-09-16,14:07:00
HRRDNU83D05B460O,10234509,O.3.8,2021-08-10,04:17:00
KNDLTT54P49E317K,9032354,M.2.3,2021-06-24,15:25:00
NDRNRQ87M13I927M,11153961,U.0.0,2021-06-24,11:19:00
MCQLNZ02P22I660V,2522948,,2021-07-03,11:17:00
GRJJPH95S15C173K,9612931,R.6.8,2020-01-12,10:35:00
PRTMYA99P53C518U,8982854,,2020-04-09,21:26:00
GRJJPH95S15C173K,3170817,,2021-01-15,05:46:00
MJRSTT75B10D931H,8963948,J.9.2,2021-07-20,15:46:00
MYIBRC89M10D096S,6537720,,2021-08-31,03:21:00
WRGNRW54R15G621D,10376048,,2021-03-26,05:47:00
KRZCMR97C71D821N,8982241,D.7.4,2021-06-26,12:00:00
KRZCMR97C71D821N,8952193,G.6.9,2020-09-03,16:28:00
BYLJPH74M19I895B,3165293,,2020-09-26,17:53:00
MRRVYN71D45L944G,3175603,N.8.6,2021-03-15,00:58:00
JLLCRL97H18L366F,6542295,,2020-03-26,12:09:00
GRNKLY58R57A015A,9612285,U.9.9,2020-10-29,23:07:00
BRMCRL71T24C934E,3207311,,2020-12-19,10:44:00
HRRDNU83D05B460O,6540854,,2021-07-04,17:17:00
WLKWLM50P08G936X,6538502,,2020-11-25,21:13:00
FNTMGN72D46F351M,8978564,T.4.9,2020-05-05,19:59:00
PTTSNE72L29D968R,2522948,,2020-11-20,05:16:00
PRRMTH85H05A304B,8952193,H.8.2,2021-09-30,06:33:00
VZCCLD62B20D786I,11127622,,2020-04-21,11:07:00
CLLPLA94D63A256F,8354453,,2020-02-24,03:00:00
SLVLNA03A20D924D,9412867,F.7.1,2020-08-24,15:38:00
MCDMHL66P52D499N,10114711,D.8.4,2021-08-01,14:55:00
TMBBRL00A66G888R,9612931,P.4.1,2021-02-04,00:25:00
SHRJSC76L51L096O,2522948,,2020-06-02,22:02:00
GRNBNN80P64H330L,10626188,,2021-07-31,22:32:00
SBRWTR66H10A647U,8354453,,2021-02-28,08:42:00
MLLTMS72D11F424K,10626188,,2021-06-26,22:34:00
SMMMHL56R18G597S,3175603,N.8.6,2020-07-19,14:30:00
SHSJMS97E21G517W,8963948,L.5.4,2021-09-16,09:42:00
WLLLXA74L21M350V,6697736,,2021-04-02,22:33:00
FLKMND52H53G625L,6542295,,2021-08-23,03:16:00
JYNMHL87E09F376N,8952193,G.6.9,2020-07-30,11:51:00
LSTSVN71L05E502E,3178423,,2021-01-05,09:53:00
FSHTRS53L65G352Z,11857076,,2020-11-12,15:05:00
LPKDRS78A53E531E,6299593,,2020-12-30,13:17:00
BLCMXN96R66E178W,6299593,,2021-07-11,04:01:00
BCKKST53T52F187L,6697736,,2021-07-19,07:40:00
LEEJNN83T56H157O,11127622,,2020-12-08,04:25:00
WLLJHN60A07M383N,3174706,D.3.1,2021-06-28,12:56:00
BRDCHR61A42G635T,2525364,,2020-12-31,11:12:00
WLLPLA68A30H935Y,8967778,N.7.4,2021-01-05,07:15:00
BLCGRY53S27L787Y,10627265,,2020-09-30,05:58:00
TLRFBN56E15I805D,8959183,W.7.7,2020-10-17,16:55:00
DRVGLD59E16M080M,11127880,,2021-05-18,16:05:00
SHRNHN66R04C850F,6538502,,2020-02-19,22:30:00
LWSSNN53P65D757N,10114711,I.8.7,2020-12-14,00:36:00
BRKLRY54H23A535E,9612285,U.9.9,2020-06-03,18:37:00
MROBRN94B20A932V,10234509,O.3.8,2020-04-06,00:50:00
